TOKEN		OUTPUT			CORRECT
ok			uk (1)			ok
fulle			fulle (0)			fylla
kustin			kustin (0)			koster
ællas			ællas (0)			ällas
haui			haui (0)			hava
ruuit			ruuit (0)			riuva
mæþ			mæþ (0)			mäþ
lagha forfallum			lagha forfallum (0)			lagha forfal
ok			uk (1)			ok
sua			sua (0)			sva
firi			firi (0)			for
andra			andra (0)			annar
ok			uk (1)			ok
sua			sua (0)			sva
firi			firi (0)			for
þa			þiggia (0.5)			þa
þingx			þingx (0)			þing
ok			uk (1)			ok
dom			þän (1)			domber
kunungx			kunungx (0)			konunger
ælla			ælla (0)			älla
laghmanz			laghmanz (0)			laghman
þa			þiggia (0.5)			þa
hærazs höfþingi			hærazs höfþingi (0)			häradshöfþinge
ok			uk (1)			ok
fæsta kunu			fæsta kunu (0)			fästa kona
hændær			hændær (0)			hand
sætia			sætia (0)			sätia
frændum			frændum (0)			frände
bruþlöpi			bruþlöpi (0)			bruþlöp
allum			allum (0)			alder
kna			kna (0)			knä
æru			æru (0)			vara
uill			uill (0)			vilia
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
markær			markær (0)			mark
ælla			ælla (0)			älla
dyli			dyli (0)			dylia
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
at			ägha (0.5)			at
uisse			uisse (0)			vita
sik			sighia (0.5)			sik
egh			äg (0.666667)			eigh
sua			sua (0)			sva
uara			uara (0)			vara
ölstæmnu			ölstæmnu (0)			ölstämna
þa			þiggia (0.5)			þa
bruþfærþ			bruþfærþ (0)			bruþfärþ
sænda			sænda (0)			sända
foruista man			foruista man (0)			forvista man
ok			uk (1)			ok
bruttu mö			bruttu mö (0)			bruþtughu mö
þer			þär (0.75)			þän
mæþ			mæþ (0)			mäþ
gruþum			gruþum (0)			gruþ
garzs			garzs (0)			garþer
ok			uk (1)			ok
beþas			beþas (0)			biþia
giua			giua (0)			giva
uakn			uakn (0)			vapn
þerra			þerra (0)			þän
ok			uk (1)			ok
saþla			saþla (0)			saþul
læggia			læggia (0)			läggia
bondin			bondin (0)			bonde
ut uarþa			ut uarþa (0)			utvarþa
tuænni			tuænni (0)			tvänne
dykkiu			dykkiu (0)			drykkia
at			ägha (0.5)			at
andrum			andrum (0)			annar
til mæla			til mæla (0)			tilmäla
ær			ær (0)			vara
mælt			mælt (0)			mäla+til
þa			þiggia (0.5)			þa
þer			þär (0.75)			þän
andra			andra (0)			annar
lagha drykkiu			lagha drykkiu (0)			lagha drykkia
ok			uk (1)			ok
þa			þiggia (0.5)			þa
gipta maþrin			gipta maþrin (0)			giptarmaþer
þæn			þæn (0)			þän
næstær			næstær (0)			näster
ær			ær (0)			vara
ok			uk (1)			ok
aghær			aghær (0)			ägha
hauær			hauær (0)			hava
hon			han (1)			hon
liuande			liuande (0)			liva
þa			þiggia (0.5)			þa
hauær			hauær (0)			hava
hon			han (1)			hon
egh			äg (0.666667)			eigh
liuande			liuande (0)			liva
ok			uk (1)			ok
hauær			hauær (0)			hava
aþalkunu son			aþalkunu son (0)			aþalkonu sun
þa			þiggia (0.5)			þa
hauær			hauær (0)			hava
hon			han (1)			hon
egh			äg (0.666667)			eigh
þæn			þæn (0)			þän
þa			þiggia (0.5)			þa
ær			ær (0)			vara
maghana			maghana (0)			magha
þa			þiggia (0.5)			þa
hænna			hænna (0)			hon
æn			æn (0)			än
ær			ær (0)			vara
a			af (0.666667)			a
fæþrinitit			fæþrinitit (0)			fäþrinerine
ær			ær (0)			vara
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
næstær			næstær (0)			näster
ær			ær (0)			vara
a			af (0.666667)			a
fæþrinit			fæþrinit (0)			fäþrine
egh			äg (0.666667)			eigh
sundærkulla			sundærkulla (0)			sunderkulla
a			af (0.666667)			a
möþrinit			möþrinit (0)			möþrine
a			af (0.666667)			ägha
þæn			þæn (0)			þän
næstær			næstær (0)			näster
ær			ær (0)			vara
a			af (0.666667)			a
fæþrinit			fæþrinit (0)			fäþrine
þær			þær (0)			þär
ær			ær (0)			vara
arui			arui (0)			arf
næmir			næmir (0)			nämber
ok			uk (1)			ok
gipta malum			gipta malum (0)			giptomal
æn			æn (0)			än
egh			äg (0.666667)			eigh
þæn			þæn (0)			þän
a			af (0.666667)			a
fæþrinit			fæþrinit (0)			fäþrine
ær			ær (0)			vara
næstær			næstær (0)			näster
þa			þiggia (0.5)			þa
gipti			gipti (0)			gipta
þæn			þæn (0)			þän
naster			naster (0)			näster
æn			æn (0)			än
gipti			gipti (0)			gipta
æn			æn (0)			än
þæn			þæn (0)			þän
næstær			næstær (0)			näster
ær			ær (0)			vara
a			af (0.666667)			a
fæþrinit			fæþrinit (0)			fäþrine
þa			þiggia (0.5)			þa
hætte uiþ			hætte uiþ (0)			hätta+viþer
markum			markum (0)			mark
ælla			ælla (0)			älla
dyli			dyli (0)			dylia
mæþ			mæþ (0)			mäþ
þrætylftum			þrætylftum (0)			þrätylfter
eþe			eþe (0)			eþer
ælla			ælla (0)			älla
uiti			uiti (0)			vita
meþ			meþ (0)			mäþ
þrænne			þrænne (0)			þränne
eþum			eþum (0)			eþer
at			ägha (0.5)			at
gipti			gipti (0)			gipta
mæþ			mæþ (0)			mäþ
luui			luui (0)			lof
ræts			ræts (0)			rätter
gipta manzs			gipta manzs (0)			giptarmaþer
þa			þiggia (0.5)			þa
þer			þär (0.75)			þän
uakna drykkiu			uakna drykkiu (0)			vapna drykkia
samu			samu (0)			samber
karum			karum (0)			kar
þer			þär (0.75)			þän
hafþu			hafþu (0)			hava
foruista man			foruista man (0)			forvista man
bos			bos (0)			bo
uarþa			uarþa (0)			varþa
rænis			rænis (0)			räna
bruþfærþ			bruþfærþ (0)			bruþfärþ
þæt			þæt (0)			þän
ran			rinna (1)			ran
æ			æ (0)			vara
fult			fylghia (1)			fulder
ok			uk (1)			ok
fiæþærtiught			fiæþærtiught (0)			fiäþertiugher
þæt			þæt (0)			þän
a			af (0.666667)			ägha
þæn			þæn (0)			þän
bondin			bondin (0)			bonde
hon			han (1)			hon
uar			uar (0)			vara
baþe			baþir (1)			baþe
gipt			gipt (0)			gipta
ok			uk (1)			ok
giuin			giuin (0)			giva
þæn			þæn (0)			þän
til mælir			til mælir (0)			tilmäla
hindradax gæf			hindradax gæf (0)			hindradags giäf
uarþa			uarþa (0)			varþa
giuær			giuær (0)			giva
at			ägha (0.5)			at
hindradax gæf			hindradax gæf (0)			hindradags giäf
mæþ			mæþ (0)			mäþ
fastum			fastum (0)			fast
ok			uk (1)			ok
köpum			köpum (0)			köp
ok			uk (1)			ok
þa			þiggia (0.5)			þa
æruir			æruir (0)			ärva
husfrun			husfrun (0)			husfru
þa			þiggia (0.5)			þän
giuær			giuær (0)			giva
at			ägha (0.5)			at
hindradaxs gæf			hindradaxs gæf (0)			hindradags giäf
ok			uk (1)			ok
haldær			haldær (0)			halda
egh			äg (0.666667)			eigh
fæst			fæst (0)			fast
at			ägha (0.5)			at
ælla			ælla (0)			älla
giuær			giuær (0)			giva
ok			uk (1)			ok
ok			uk (1)			ok
egh			äg (0.666667)			eigh
a			af (0.666667)			a
hindra dagh			hindra dagh (0)			hindradagher
þa			þiggia (0.5)			þän
hon			han (1)			hon
egh			äg (0.666667)			eigh
æpti			æpti (0)			äptir
ærua			ærua (0)			ärva
arua			arua (0)			arve
uilin			uilin (0)			vilia
giuær			giuær (0)			giva
lösöra			lösöra (0)			lösöre
at			ägha (0.5)			at
hindra dax gæf			hindra dax gæf (0)			hindradags giäf
æru			æru (0)			vara
þer			þär (0.75)			þän
egh			äg (0.666667)			eigh
borghaþi			borghaþi (0)			borgha
ok			uk (1)			ok
bondin			bondin (0)			bonde
þa			þiggia (0.5)			þa
hon			han (1)			hon
egh			äg (0.666667)			eigh
kræuia			kræuia (0)			kräfia
arua			arua (0)			arve
uilin			uilin (0)			vilia
frændær			frændær (0)			frände
uingæf			uingæf (0)			vingiäf
int			int (0)			inna
fæst			fæst (0)			fast
kombær			kombær (0)			koma
a			af (0.666667)			a
malit			malit (0)			mal
giptir			giptir (0)			gipt
förra			förra (0)			fyrre
æn			æn (0)			än
a			af (0.666667)			a
en			än (0.666667)			en
bulstær			bulstær (0)			bulster
ok			uk (1)			ok
ena			ena (0)			en
blöiu			blöiu (0)			blea
mæn			mæn (0)			maþer
þæn			þæn (0)			þän
giuær			giuær (0)			giva
ok			uk (1)			ok
þiggær			þiggær (0)			þiggia
ok			uk (1)			ok
ær			ær (0)			vara
mæþ			mæþ (0)			mäþ
gipta manninum			gipta manninum (0)			giptarmaþer
þa			þiggia (0.5)			þa
hauær			hauær (0)			hava
uitsorþ			uitsorþ (0)			vitsorþ
giua			giua (0)			giva
sua			sua (0)			sva
uill			uill (0)			vilia
mæþ			mæþ (0)			mäþ
tem			tem (0)			tver
niþinne			niþinne (0)			niþ
ok			uk (1)			ok
ualinkunnum			ualinkunnum (0)			valinkunder
at			ägha (0.5)			at
þætta			þætta (0)			þänne
uar			uar (0)			vara
giuit			giuit (0)			giva
ok			uk (1)			ok
mera			mär (1)			mere
egh			äg (0.666667)			eigh
hauær			hauær (0)			hava
þa			þiggia (0.5)			þa
klandas			klandas (0)			klanda
firi			firi (0)			for
ok			uk (1)			ok
kallas			kallas (0)			kalla
egh			äg (0.666667)			eigh
giuit			giuit (0)			giva
uara			uara (0)			vara
þa			þiggia (0.5)			þa
hauær			hauær (0)			hava
uitzs orþ			uitzs orþ (0)			vitsorþ
mæþ			mæþ (0)			mäþ
tuem			tuem (0)			tver
niþinne			niþinne (0)			niþ
ok			uk (1)			ok
ualinkunnum			ualinkunnum (0)			valinkunder
at			ägha (0.5)			at
þætta			þætta (0)			þänne
uar			uar (0)			vara
giuit			giuit (0)			giva
a			af (0.666667)			a
fæstnaþa stæmnu			fæstnaþa stæmnu (0)			fästnaþar stämna
ok			uk (1)			ok
sua			sua (0)			sva
a			af (0.666667)			a
gipta kuælde			gipta kuælde (0)			giptar qvälder
þer			þär (0.75)			þän
inna			inna (0)			innanan
hæfþa			hæfþa (0)			häfþ
þa			þiggia (0.5)			þa
hauær			hauær (0)			hava
uitzs orþ			uitzs orþ (0)			vitsorþ
mæþ			mæþ (0)			mäþ
fullum			fullum (0)			fulder
niþiar eþe			niþiar eþe (0)			niþiar eþer
at			ägha (0.5)			at
þætta			þætta (0)			þänne
uar			uar (0)			vara
giuit			giuit (0)			giva
ok			uk (1)			ok
mera			mär (1)			mere
egh			äg (0.666667)			eigh
hauær			hauær (0)			hava
þæn			þæn (0)			þän
hæfþum			hæfþum (0)			häfþ
a kumit			a kumit (0)			akoma
giuit			giuit (0)			giva
uar			uar (0)			vara
ar			vara (1)			ar
takit			takit (0)			taka
af gift			af gift (0)			afgipt
ok			uk (1)			ok
afræþe			afræþe (0)			afraþ
ælla			ælla (0)			älla
bor			bor (0)			boa
a			af (0.666667)			a
sialuær			sialuær (0)			siälver
þa			þiggia (0.5)			þa
hauær			hauær (0)			hava
uitzsorþ			uitzsorþ (0)			vitsorþ
mæþ			mæþ (0)			mäþ
fullum			fullum (0)			fulder
niþiar eþe			niþiar eþe (0)			niþiar eþer
at			ägha (0.5)			at
þætta			þætta (0)			þänne
uar			uar (0)			vara
giort			giort (0)			göra
ok			uk (1)			ok
giuit			giuit (0)			giva
a			af (0.666667)			a
fæstinga			fæstinga (0)			fästning
stæmnu			stæmnu (0)			stämna
ok			uk (1)			ok
gipta kuældi			gipta kuældi (0)			giptar qvälder
annan			annan (0)			annar
eþ			eþ (0)			eþer
æfte			æfte (0)			äptir
slika			slika (0)			sliker
fa			far (1)			fa
þa			þiggia (0.5)			þa
tua			tua (0)			tver
þæt			þæt (0)			þän
uita			uita (0)			vita
at			ägha (0.5)			at
hauær			hauær (0)			hava
þæt			þæt (0)			þän
hæfþat			hæfþat (0)			häfþa
sua			sua (0)			sva
a			af (0.666667)			ägha
ok			uk (1)			ok
lagh			liggia (1)			lagh
sighia			sea (1)			sighia
giuær			giuær (0)			giva
dottur			dottur (0)			dottir
omynd			omynd (0)			urmynd
omynd			omynd (0)			urmynd
lösörum			lösörum (0)			lösöre
þæt			þæt (0)			þän
kombær			kombær (0)			koma
garþzs			garþzs (0)			garþer
ok			uk (1)			ok
grinda stolpa			grinda stolpa (0)			grinda stolpe
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
bondin			bondin (0)			bonde
þæn			þæn (0)			þän
kununa			kununa (0)			kona
uæria			uæria (0)			väria
firi			firi (0)			for
ormynd			ormynd (0)			urmynd
haldær			haldær (0)			halda
moþirin			moþirin (0)			moþir
hon			han (1)			hon
ormynd			ormynd (0)			urmynd
giorþe			giorþe (0)			göra
þa			þiggia (0.5)			þa
uitzs orþ			uitzs orþ (0)			vitsorþ
inne halda			inne halda (0)			innehalda
ok			uk (1)			ok
uæria			uæria (0)			väria
uar			uar (0)			vara
skilt			skilt (0)			skilia
æn			æn (0)			än
hon			han (1)			hon
gær			gær (0)			göra
omynd			omynd (0)			urmynd
hænne			hænne (0)			hon
ok			uk (1)			ok
laghæfþar			laghæfþar (0)			lagh häpta
dottirin			dottirin (0)			dottir
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
moþirin			moþirin (0)			moþir
atær			atær (0)			ater
omyndu eghn			omyndu eghn (0)			urmynda eghn
þa			þiggia (0.5)			þa
æn			æn (0)			än
hon			han (1)			hon
hauær			hauær (0)			hava
lagh hæfþat			lagh hæfþat (0)			lagh häpta
þa			þiggia (0.5)			þa
moþririn			moþririn (0)			moþir
egh			äg (0.666667)			eigh
atær			atær (0)			ater
þær			þær (0)			þär
gangær			gangær (0)			ganga
ömynd			ömynd (0)			urmynd
bort			borþ (1)			bort
sundærkulla			sundærkulla (0)			sunderkulla
þa			þiggia (0.5)			þa
sundærkulla			sundærkulla (0)			sunderkulla
fulla			fulla (0)			fylla
sundærkulla			sundærkulla (0)			sunderkulla
broþær			broþær (0)			broþir
firi			firi (0)			for
omyndina			omyndina (0)			urmynd
egh			äg (0.666667)			eigh
hana			han (1)			hon
atær			atær (0)			ater
fa			far (1)			fa
gær			gær (0)			göra
uiþ			uiþ (0)			viþ
kunu			kunu (0)			kona
þæt			þæt (0)			þän
kalla			kalder (1)			kalla
uæggia köp			uæggia köp (0)			väggiar köp
uara			uara (0)			vara
þæt			þæt (0)			þän
standær			standær (0)			standa
mæþan			mæþan (0)			mäþan
banin			banin (0)			baþir
liua			liua (0)			liva
annat			annat (0)			annar
þerra			þerra (0)			þän
þa			þiggia (0.5)			þa
ær			ær (0)			vara
þæt			þæt (0)			þän
egh			äg (0.666667)			eigh
lagha			lagh (1)			lagha
bondin			bondin (0)			bonde
kunu			kunu (0)			kona
egh			äg (0.666667)			eghn
staþ			staþ (0)			staþer
ok			uk (1)			ok
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
egh			äg (0.666667)			eigh
hænna			hænna (0)			hon
staþ			staþ (0)			staþer
uiþær			uiþær (0)			viþ
se			sea (0.5)			vara+viþer
hænna			hænna (0)			hon
rættær			rættær (0)			rätter
arui			arui (0)			arve
þa			þiggia (0.5)			þa
hænna			hænna (0)			hon
staþ			staþ (0)			staþer
bætra			bætra (0)			bätre
ok			uk (1)			ok
egh			äg (0.666667)			eigh
sæmbra			sæmbra (0)			sämbre
omynd			omynd (0)			urmynd
egh			äg (0.666667)			eigh
firifaras			firifaras (0)			forfara
þæmma			þæmma (0)			þänne
hungær			hungær (0)			hunger
hænda			hænda (0)			hända
þa			þiggia (0.5)			þa
bondans			bondans (0)			bonde
förra			förra (0)			fyrre
alt			alt (0)			alder
sælia			sælia (0)			sälia
æn			æn (0)			än
hænna			hænna (0)			hon
ær			ær (0)			vara
alt			alt (0)			alder
salt			sander (1)			sälia
haldær			haldær (0)			halda
æn			æn (0)			än
hungær			hungær (0)			hunger
a			af (0.666667)			a
þa			þiggia (0.5)			þa
hænna			hænna (0)			hon
omynd			omynd (0)			urmynd
sælia			sælia (0)			sälia
nötir			nut (1)			nöta
hon			han (1)			hon
sialf			sialf (0)			siälver
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
egh			äg (0.666667)			eigh
bondin			bondin (0)			bonde
hana			han (1)			hon
atær gialda			atær gialda (0)			atergiälda
nötir			nut (1)			nöta
bondin			bondin (0)			bonde
mæþ			mæþ (0)			mäþ
hænne			hænne (0)			hon
ok			uk (1)			ok
fæ			fæ (0)			fä
fa			far (1)			fa
þa			þiggia (0.5)			þa
aruum			aruum (0)			arve
hænna			hænna (0)			hon
omynd			omynd (0)			urmynd
atær gialda			atær gialda (0)			atergiälda
hær			hær (0)			här
lanzs			lanzs (0)			land
læggia			læggia (0)			läggia
ok			uk (1)			ok
hæria			hæria (0)			häria
alt			alt (0)			alder
þæt			þæt (0)			þän
bondin			bondin (0)			bonde
a			af (0.666667)			ägha
ok			uk (1)			ok
sua			sua (0)			sva
kunu			kunu (0)			kona
kuma			kuma (0)			koma
hem			hember (1)			hem
ok			uk (1)			ok
atær lösa			atær lösa (0)			aterlösa
kunu			kunu (0)			kona
hauær			hauær (0)			hava
egh			äg (0.666667)			eigh
bondin			bondin (0)			bonde
annat			annat (0)			annar
sæli			sæli (0)			sälia
omynd			omynd (0)			urmynd
hænna			hænna (0)			hon
þa			þiggia (0.5)			þa
sælia			sælia (0)			sälia
hana			han (1)			hon
ok			uk (1)			ok
hana			han (1)			hon
atær lösa			atær lösa (0)			aterlösa
mæþ			mæþ (0)			mäþ
bondin			bondin (0)			bonde
hæriaþær			hæriaþær (0)			häria
uarþa			uarþa (0)			varþa
ok			uk (1)			ok
susfrun			susfrun (0)			husfru
sitær			sitær (0)			sitia
kuar			kuar (0)			qvar
hænne			hænne (0)			hon
ok			uk (1)			ok
bondan			bondan (0)			bonde
attær lösa			attær lösa (0)			aterlösa
þa			þiggia (0.5)			þa
hon			han (1)			hon
omynd			omynd (0)			urmynd
sælia			sælia (0)			sälia
ok			uk (1)			ok
atær lösa			atær lösa (0)			aterlösa
þær			þær (0)			þär
ær			ær (0)			vara
hon			han (1)			hon
af hænd			af hænd (0)			afhända
bondin			bondin (0)			bonde
egh			äg (0.666667)			eigh
sælia			sælia (0)			sälia
firi			firi (0)			for
lösöra			lösöra (0)			lösöre
mal			mala (1)			mal
þrængin til			þrængin til (0)			þrängia+til
æru			æru (0)			vara
saghþ			saghþ (0)			sighia
sæl			sæl (0)			sälia
hana			han (1)			hon
þa			þiggia (0.5)			þa
standær			standær (0)			standa
köpit			köpit (0)			köp
mæþan			mæþan (0)			mäþan
liua			liua (0)			liva
annat			annat (0)			annar
þerra			þerra (0)			þän
ær			ær (0)			vara
kærre			kærre (0)			kära
annat			annat (0)			annar
þerra			þerra (0)			þän
æfte			æfte (0)			äptir
hon			han (1)			hon
ælla			ælla (0)			älla
anar			anar (0)			annar
þerra			þerra (0)			þän
arui			arui (0)			arve
ar			vara (1)			ar
þa			þiggia (0.5)			þa
gangær			gangær (0)			ganga+ater
köpit			köpit (0)			köp
atær			atær (0)			ater
ær			ær (0)			vara
ömynd			ömynd (0)			urmynd
þa			þiggia (0.5)			þa
hana			han (1)			hon
atær biuþa			atær biuþa (0)			*aterbiuþa
fæþringum			fæþringum (0)			fäþrine
ok			uk (1)			ok
möþringum			möþringum (0)			möþrine
sua			sua (0)			sva
ær			ær (0)			vara
hænna			hænna (0)			hon
arue			arue (0)			arve
utan landzs			utan landzs (0)			utanlands
ar			vara (1)			ar
hon			han (1)			hon
ær			ær (0)			vara
döþ			döþ (0)			döþer
ok			uk (1)			ok
kærir			kærir (0)			kära
ok			uk (1)			ok
iamlanga			iamlanga (0)			iämlange
hem			hember (1)			hem
kombær			kombær (0)			koma
þa			þiggia (0.5)			þa
hauær			hauær (0)			hava
uitzsorþ			uitzsorþ (0)			vitsorþ
atær dela			atær dela (0)			ater dela
kære			kære (0)			kära
egh			äg (0.666667)			eigh
ok			uk (1)			ok
iamlanga			iamlanga (0)			iämlange
þa			þiggia (0.5)			þa
aghe			aghe (0)			ägha
þæn			þæn (0)			þän
köpt			köpt (0)			köpa
hauær			hauær (0)			hava
æn			æn (0)			än
ær			ær (0)			vara
at			ägha (0.5)			ar
ok			uk (1)			ok
uill			uill (0)			vilia
egh			äg (0.666667)			eigh
kæra			kæra (0)			kära
mællum			mællum (0)			mällom
þæs			þæs (0)			þän
kæri			kæri (0)			kära
þa			þiggia (0.5)			þa
aghi			aghi (0)			ägha
uitzs orþ			uitzs orþ (0)			vitsorþ
köpt			köpt (0)			köpa
hauær			hauær (0)			hava
at			ägha (0.5)			at
uæria			uæria (0)			väria
skilt			skilt (0)			skilia
ær			ær (0)			vara
kærir			kærir (0)			kära
hon			han (1)			hon
ælla			ælla (0)			älla
arui			arui (0)			arve
ar			vara (1)			ar
þa			þiggia (0.5)			þa
gangær			gangær (0)			ganga+ater
köpit			köpit (0)			köp
atær			atær (0)			ater
æn			æn (0)			än
þæt			þæt (0)			þän
ær			ær (0)			vara
kumit			kumit (0)			koma
þa			þiggia (0.5)			þa
þær			þær (0)			þär
egh			äg (0.666667)			eigh
eþum			eþum (0)			eþer
a mote			a mote (0)			amote
hua			hua (0)			hvar
þær			þær (0)			þär
gangær			gangær (0)			ganga
eþum			eþum (0)			eþer
gær			gær (0)			göra
ulagh			ulagh (0)			olagh
gange			gange (0)			ganga
atær			atær (0)			ater
uiþær gialda			uiþær gialda (0)			vidhergiälda
þæn			þæn (0)			þän
hana			han (1)			hon
galt			galt (0)			giälda
þæn			þæn (0)			þän
lösöra			lösöra (0)			lösöre
galt			galt (0)			giälda
hon			han (1)			hon
uar			uar (0)			vara
bo			boa (1)			bo
mæþ			mæþ (0)			mäþ
bondanum			bondanum (0)			bonde
ok			uk (1)			ok
nöte			nöte (0)			nöta
uiþær giald			uiþær giald (0)			vidhergiäld
mæþ			mæþ (0)			mäþ
þa			þiggia (0.5)			þa
luke			luke (0)			luka
atær			atær (0)			ater
þriþiung			þriþiung (0)			þriþiunger
uiþær gialdum			uiþær gialdum (0)			vidhergiäld
ok			uk (1)			ok
tua			tua (0)			tver
lyti			luter (1)			lyte
arui			arui (0)			arve
bondans			bondans (0)			bonde
æn			æn (0)			än
hun			hun (0)			hon
hauær			hauær (0)			hava
ærft			ærft (0)			ärva
mera			mär (1)			mere
æn			æn (0)			än
þriþiungxs			þriþiungxs (0)			þriþiunger
þa			þiggia (0.5)			þa
luki			luki (0)			luka
hon			han (1)			hon
ærft			ærft (0)			ärva
hauær			hauær (0)			hava
uill			uill (0)			vilia
hon			han (1)			hon
egh			äg (0.666667)			eigh
luka			lokka (1)			luka
lut			ludher (0.5)			luter
þæn			þæn (0)			þän
hon			han (1)			hon
ærft			ærft (0)			ärva
hauær			hauær (0)			hava
ok			uk (1)			ok
hænna			hænna (0)			hon
höre			höre (0)			höra+til
þa			þiggia (0.5)			þa
standin			standin (0)			standa
köpin			köpin (0)			köp
kuar			kuar (0)			qvar
hauær			hauær (0)			hava
skipt			skipt (0)			skipta
uærra			uærra (0)			värre
þa			þiggia (0.5)			þa
köpit			köpit (0)			köp
atær ganga			atær ganga (0)			aterganga
þær			þær (0)			þär
egh			äg (0.666667)			eigh
eþum			eþum (0)			eþer
gangær			gangær (0)			ganga
eþum			eþum (0)			eþer
þa			þiggia (0.5)			þa
gær			gær (0)			göra
köpir			köpir (0)			köpa
hænna			hænna (0)			hon
gozþ			gozþ (0)			gods
iamnaþa			iamnaþa (0)			iämnaþer
ok			uk (1)			ok
sæl			sæl (0)			sälia
firi			firi (0)			for
lösöra			lösöra (0)			lösöre
æ mæþan			æ mæþan (0)			ä mäþan
hænna			hænna (0)			hon
köpis			köpis (0)			köpa
iamnaþa			iamnaþa (0)			iämnaþer
ok			uk (1)			ok
æru			æru (0)			vara
saman bundin			saman bundin (0)			saman binda
ælla			ælla (0)			älla
ær			ær (0)			vara
rættær			rættær (0)			rätter
arui			arui (0)			arve
nær			nær (0)			när
þæn			þæn (0)			þän
maghandi			maghandi (0)			magha
ær			ær (0)			vara
þa			þiggia (0.5)			þa
stande			stande (0)			standa
köpit			köpit (0)			köp
ok			uk (1)			ok
aghe			aghe (0)			ägha
þæn			þæn (0)			þän
uitzs orþ			uitzs orþ (0)			vitsorþ
köpt			köpt (0)			köpa
hauær			hauær (0)			hava
sæl			sæl (0)			sälia
firi			firi (0)			for
lösöra			lösöra (0)			lösöre
þa			þiggia (0.5)			þa
gangær			gangær (0)			ganga
köpit			köpit (0)			köp
atær			atær (0)			ater
ok			uk (1)			ok
þær			þær (0)			þär
egh			äg (0.666667)			eigh
eþum			eþum (0)			eþer
a mote			a mote (0)			amote
sæl			sæl (0)			sälia
ælla			ælla (0)			älla
skipti			skipti (0)			skipta
sinni			sinni (0)			sin
hon			han (1)			hon
ær			ær (0)			vara
ænkia			ænkia (0)			änkia
mæþ			mæþ (0)			mäþ
mgipta manzs			mgipta manzs (0)			giptarmaþer
raþi			raþi (0)			raþ
þæt			þæt (0)			þän
þr			þr (0)			vara
lagh giort			lagh giort (0)			laghgöra
aghe			aghe (0)			ägha
þæn			þæn (0)			þän
uitzs orþ			uitzs orþ (0)			vitsorþ
at			ägha (0.5)			at
uæria			uæria (0)			väria
köpt			köpt (0)			köpa
hauær			hauær (0)			hava
skipti			skipti (0)			skipta
uiþær			uiþær (0)			viþ
ok			uk (1)			ok
arua			arua (0)			arve
þa			þiggia (0.5)			þa
hon			han (1)			hon
omynd			omynd (0)			urmynd
oskiptu			oskiptu (0)			oskipter
bo			boa (1)			bo
ok			uk (1)			ok
uiþær mund			uiþær mund (0)			viþermynd
æn			æn (0)			än
hænne			hænne (0)			hon
fulghþe			fulghþe (0)			fylghia
sua			sua (0)			sva
mykyl			mykyl (0)			mykil
skilt			skilt (0)			skilia
ær			ær (0)			vara
hauær			hauær (0)			hava
hænne			hænne (0)			hon
köpt			köpt (0)			köpa
mattul			mattul (0)			mantol
utlænzskan			utlænzskan (0)			utländsker
þa			þiggia (0.5)			þa
þær			þær (0)			þär
hauær			hauær (0)			hava
hon			han (1)			hon
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
æru			æru (0)			vara
þæt			þæt (0)			þän
tiu			tiu (0)			tio
a			af (0.666667)			ägha
hon			han (1)			hon
tu			tu (0)			tver
ismuxs klæþe			ismuxs klæþe (0)			ismugs kläþe
ok			uk (1)			ok
herþa mattul			herþa mattul (0)			härþa mantul
huwþ duki			huwþ duki (0)			hovuþduker
giurþ			giurþ (0)			giurþa
uara			uara (0)			vara
ok			uk (1)			ok
annan			annan (0)			annar
huwþ			huwþ (0)			hovuþ
sik			sighia (0.5)			sik
arua			arua (0)			arve
bondans			bondans (0)			bonde
þær			þær (0)			þär
klæþe			klæþe (0)			kläþe
uaru			uaru (0)			vara
baþe			baþir (1)			baþe
skapaþ			skapaþ (0)			skapa
ok			uk (1)			ok
skurin			skurin (0)			skära
ok			uk (1)			ok
folkuakn			folkuakn (0)			folkvapn
a			af (0.666667)			ägha
husfrun			husfrun (0)			husfru
þriþiung			þriþiung (0)			þriþiunger
bo			boa (1)			bo
ok			uk (1)			ok
bondans			bondans (0)			bonde
arua			arua (0)			arve
tua			tua (0)			tver
giptir			giptir (0)			gipta
kunu			kunu (0)			kona
ok			uk (1)			ok
sua			sua (0)			sva
firi			firi (0)			for
at			ägha (0.5)			at
a			af (0.666667)			a
hænna			hænna (0)			hon
omynd			omynd (0)			urmynd
þa			þiggia (0.5)			þa
æ			æ (0)			ä
þæn			þæn (0)			þän
omyndina			omyndina (0)			urmynd
æruir			æruir (0)			ärva
æruir			æruir (0)			ärva
husin			husin (0)			hus
æn			æn (0)			än
glömir			glömir (0)			glöma
ok			uk (1)			ok
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
þæn			þæn (0)			þän
