TOKEN		OUTPUT			CORRECT
uare			vara (1)			vara
til			til (0)			til
nu			nu (0)			nu
man			maþer (1)			maþer
slar			sla (1)			sla
hans			han (1)			han
hans			han (1)			han
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
böte			böta (1)			böta
þre			þrir (1)			þrir
nu			nu (0)			nu
all			alder (1)			alder
skal			skula (1)			skula
först			fyrst (1)			fyrst
nu			nu (0)			nu
han			han (1)			han
lönlika			lönlika (0)			lönlika
til			til (0)			til
hans			han (1)			han
skal			skula (1)			skula
han			han (1)			han
dylia			dylia (0)			dylia
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
böte			böta (1)			böta
sum			sum (0)			sum
skils			skilia (1)			skilia
nu			nu (0)			nu
man			maþer (1)			maþer
olaghlika			olaghlika (0)			olaghlika
hans			han (1)			han
rutna			rutna (0)			rutna
af			af (0)			af
hanum			han (1)			han
böte			böta (1)			böta
fiuratighi			fiuratighi (0)			fiuratighi
dör			döia (1)			döia
han			han (1)			han
af			af (0)			af
böte			böta (1)			böta
sum			sum (0)			sum
för			fyr (1)			fyr
i			i (0)			i
hans			han (1)			han
fiuratighi			fiuratighi (0)			fiuratighi
þe			þän (1)			þän
han			han (1)			han
rutna			rutna (0)			rutna
af			af (0)			af
hanum			han (1)			han
tolf			tolf (0)			tolf
nu			nu (0)			nu
man			maþer (1)			maþer
han			han (1)			han
hor			hor (0)			hor
undir			undir (0)			undir
han			han (1)			han
han			han (1)			han
takin			taka (1)			taka
undan			undan (0)			undan
böte			böta (1)			böta
fiuratighi			fiuratighi (0)			fiuratighi
nu			nu (0)			nu
man			maþer (1)			maþer
i			i (0)			i
böte			böta (1)			böta
skal			skula (1)			skula
sum			sum (0)			sum
han			han (1)			han
ma			magha (1)			magha
ganga			ganga (0)			ganga
nu			nu (0)			nu
um			um (0)			um
siþan			siþan (0)			siþan
sum			sum (0)			sum
iorþ			iorþ (0)			iorþ
siþan			siþan (0)			siþan
iorþa ran			iorþa ran (0)			iorþa ran
nu			nu (0)			nu
man			maþer (1)			maþer
nu			nu (0)			nu
man			maþer (1)			maþer
tolf			tolf (0)			tolf
nu			nu (0)			nu
man			maþer (1)			maþer
böte			böta (1)			böta
þre			þrir (1)			þrir
nu			nu (0)			nu
man			maþer (1)			maþer
böte			böta (1)			böta
þre			þrir (1)			þrir
nu			nu (0)			nu
skal			skula (1)			skula
stenka			stenka (0)			stenka
i			i (0)			i
nu			nu (0)			nu
hans			han (1)			han
hans			han (1)			han
böte			böta (1)			böta
fiuratighi			fiuratighi (0)			fiuratighi
þön			þän (1)			þän
huarghin			hvarghin (1)			hvarghin
hans			han (1)			han
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
böte			böta (1)			böta
nu			nu (0)			nu
man			maþer (1)			maþer
han			han (1)			han
til			til (0)			til
hialp			hiälp (0.5)			hiälp
han			han (1)			han
nu			nu (0)			nu
han			han (1)			han
löpa			löpa (0)			löpa
til			til (0)			til
hialp			hiälp (0.5)			hiälp
han			han (1)			han
nu			nu (0)			nu
akallan			akallan (0)			akallan
þön			þän (1)			þän
hundraþ			hundraþ (0)			hundraþ
nu			nu (0)			nu
man			maþer (1)			maþer
bos ran			bos ran (0)			bos ran
hiorþ			hiorþ (0)			hiorþ
nu			nu (0)			nu
þing			þing (0)			þing
böte			böta (1)			böta
fiuratighi			fiuratighi (0)			fiuratighi
nu			nu (0)			nu
man			maþer (1)			maþer
ute			ute (0)			ute
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
böte			böta (1)			böta
nu			nu (0)			nu
ut			ut (0)			ut
ransakan			ransakan (0)			ransakan
sum			sum (0)			sum
han			han (1)			han
af			af (0)			af
hanum			han (1)			han
i			i (0)			i
hanum			han (1)			han
han			han (1)			han
utan			utan (0)			utan
biþa			biþa (0)			biþa
skal			skula (1)			skula
sant			sander (1)			sander
um			um (0)			um
nu			nu (0)			nu
man			maþer (1)			maþer
i			i (0)			i
i			i (0)			i
han			han (1)			han
undan			undan (0)			undan
sum			sum (0)			sum
böte			böta (1)			böta
fiuratighi			fiuratighi (0)			fiuratighi
nu			nu (0)			nu
i			i (0)			i
skal			skula (1)			skula
han			han (1)			han
gangit			ganga (1)			ganga
til			til (0)			til
nu			nu (0)			nu
man			maþer (1)			maþer
i			i (0)			i
ute			ute (0)			ute
i			i (0)			i
köt			kiöt (1)			kiöt
sum			sum (0)			sum
i			i (0)			i
hanum			han (1)			han
han			han (1)			han
þöm			þän (1)			þän
sum			sum (0)			sum
han			han (1)			han
ma			magha (1)			magha
han			han (1)			han
i			i (0)			i
hanum			han (1)			han
böte			böta (1)			böta
sum			sum (0)			sum
han			han (1)			han
stal			stiäla (1)			stiäla
fiuratighi			fiuratighi (0)			fiuratighi
nu			nu (0)			nu
man			maþer (1)			maþer
inne			inne (0)			inne
skal			skula (1)			skula
hanum			han (1)			han
binda			binda (0)			binda
til			til (0)			til
föra			föra (0)			föra
ma			magha (1)			magha
minna			minne (1)			minne
binda			binda (0)			binda
utan			utan (0)			utan
sum			sum (0)			sum
sum			sum (0)			sum
han			han (1)			han
ma			magha (1)			magha
han			han (1)			han
binda			binda (0)			binda
for			for (0.5)			for
utan			utan (0)			utan
höns			höns (0)			höns
gas			gas (0)			gas
han			han (1)			han
böte			böta (1)			böta
bot			bot (0)			bot
sum			sum (0)			sum
skulu			skula (1)			skula
han			han (1)			han
þy			þän (1)			þän
skulu			skula (1)			skula
han			han (1)			han
laghlika			laghlika (0)			laghlika
þriþiu			þriþi (1)			þriþi
hanum			han (1)			han
bundin			binda (1)			binda
siþan			siþan (0)			siþan
ma			magha (1)			magha
han			han (1)			han
til			til (0)			til
döma			döma (0)			döma
nu			nu (0)			nu
i			i (0)			i
inne			inne (0)			inne
takin			taka (1)			taka
halft			halver (1)			halver
halft			halver (1)			halver
han			han (1)			han
kan			kunna (1)			kunna
nu			nu (0)			nu
hanum			han (1)			han
böte			böta (1)			böta
hanum			han (1)			han
han			han (1)			han
stal			stiäla (1)			stiäla
siax			siäx (1)			siäx
nu			nu (0)			nu
han			han (1)			han
i			i (0)			i
sum			sum (0)			sum
inlas			inlas (0)			inlas
nu			nu (0)			nu
han			han (1)			han
takin			taka (1)			taka
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
böte			böta (1)			böta
han			han (1)			han
stal			stiäla (1)			stiäla
nu			nu (0)			nu
han			han (1)			han
hanum			han (1)			han
böte			böta (1)			böta
sum			sum (0)			sum
han			han (1)			han
stal			stiäla (1)			stiäla
fiuratighi			fiuratighi (0)			fiuratighi
nu			nu (0)			nu
i			i (0)			i
hanum			han (1)			han
hanum			han (1)			han
af			af (0)			af
i			i (0)			i
hans			han (1)			han
sum			sum (0)			sum
han			han (1)			han
ma			magha (1)			magha
han			han (1)			han
binda			binda (0)			binda
til			til (0)			til
föra			föra (0)			föra
nu			nu (0)			nu
i			i (0)			i
han			han (1)			han
dylia			dylia (0)			dylia
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
nu			nu (0)			nu
undi			undir (1)			undir
þöm			þän (1)			þän
hion			hion (0)			hion
ne			ne (0)			ne
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
sum			sum (0)			sum
han			han (1)			han
atte			ägha (1)			ägha
stal			stiäla (1)			stiäla
böte			böta (1)			böta
sum			sum (0)			sum
han			han (1)			han
skal			skula (1)			skula
nu			nu (0)			nu
kan			kunna (1)			kunna
skal			skula (1)			skula
han			han (1)			han
sinum			sin (0.5)			sin
hanum			han (1)			han
nu			nu (0)			nu
han			han (1)			han
skal			skula (1)			skula
han			han (1)			han
þit			þit (0)			þit
fara			fara (1)			fara
ransaka			ransaka (0)			ransaka
han			han (1)			han
hanum			han (1)			han
ransak			ransak (0)			ransak
synia			synia (0)			synia
skal			skula (1)			skula
han			han (1)			han
til			til (0)			til
sin			sin (0.6)			sin
huar			hvar (1)			hvar
skal			skula (1)			skula
sum			sum (0)			sum
hanum			han (1)			han
skal			skula (1)			skula
hin			hin (0)			hin
sum			sum (0)			sum
inne			inne (0)			inne
þöm			þän (1)			þän
skulu			skula (1)			skula
þe			þän (1)			þän
inganga			inganga (0)			inganga
sum			sum (0)			sum
skal			skula (1)			skula
þem			þän (1)			þän
ranzsaka			ransaka (1)			ransaka
sea			sea (0)			sea
þe			þän (1)			þän
haua			hava (1)			hava
in			in (0)			in
inne			inne (0)			inne
sum			sum (0)			sum
af			af (0)			af
hanum			han (1)			han
skal			skula (1)			skula
skuþa			skoþa (1)			skoþa
mykit			mykil (1)			mykil
matte			magha (0.5)			magha
inkasta			inkasta (0)			inkasta
han			han (1)			han
þit			þit (0)			þit
undi			undir (1)			undir
matte			magha (0.5)			magha
inganga			inganga (0)			inganga
manna			maþer (1)			maþer
nu			nu (0)			nu
til			til (0)			til
han			han (1)			han
han			han (1)			han
hanum			han (1)			han
buþ			buþ (0)			buþ
þöm			þän (1)			þän
i			i (0)			i
hans			han (1)			han
skal			skula (1)			skula
han			han (1)			han
þit			þit (0)			þit
koma			koma (0)			koma
ma			magha (1)			magha
han			han (1)			han
hus			hus (0)			hus
hitta			hitta (0)			hitta
þe			þän (1)			þän
inne			inne (0)			inne
sum			sum (0)			sum
af			af (0)			af
hanum			han (1)			han
ma			magha (1)			magha
han			han (1)			han
binda			binda (0)			binda
til			til (0)			til
föra			föra (0)			föra
saklös			saklös (0)			saklös
nu			nu (0)			nu
mughu			magha (1)			magha
þöm			þän (1)			þän
sum			sum (0)			sum
ranzsaka			ransaka (1)			ransaka
skulu			skula (1)			skula
buþ			buþ (0)			buþ
fangit			fa (1)			fa
til			til (0)			til
annar			annar (0)			annar
þriþi			þriþi (1)			þriþi
þöm			þän (1)			þän
ma			magha (1)			magha
aghin			ägha (1)			ägha
i			i (0)			i
nu			nu (0)			nu
huar			hvar (1)			hvar
sum			sum (0)			sum
hanum			han (1)			han
han			han (1)			han
sum			sum (0)			sum
laghlika			laghlika (0)			laghlika
þe			þän (1)			þän
hanum			han (1)			han
skal			skula (1)			skula
sant			sander (1)			sander
um			um (0)			um
han			han (1)			han
han			han (1)			han
þe			þän (1)			þän
han			han (1)			han
ma			magha (1)			magha
han			han (1)			han
hans			han (1)			han
skipta			skipta (0)			skipta
sum			sum (0)			sum
han			han (1)			han
undan			undan (0)			undan
skal			skula (1)			skula
han			han (1)			han
um			um (0)			um
alla			alder (1)			alder
hans			han (1)			han
nu			nu (0)			nu
lagha			lagh (1)			lagh
lagha			lagh (1)			lagh
skal			skula (1)			skula
til			til (0)			til
i			i (0)			i
siang			siäng (1)			siäng
sum			sum (0)			sum
i			i (0)			i
siang			siäng (1)			siäng
aghu			ägha (1)			ägha
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
stal			stiäla (1)			stiäla
aldrigh			aldrigh (0)			aldrigh
þy			þän (1)			þän
sin			sin (0.6)			sin
sum			sum (0)			sum
hans			han (1)			han
hans			han (1)			han
ma			magha (1)			magha
i			i (0)			i
ganga			ganga (0)			ganga
utan			utan (0)			utan
i			i (0)			i
sinum			sin (0.5)			sin
nu			nu (0)			nu
man			maþer (1)			maþer
utan			utan (0)			utan
band			band (0)			band
han			han (1)			han
um			um (0)			um
siþan			siþan (0)			siþan
fiuratighi			fiuratighi (0)			fiuratighi
kumin			koma (1)			koma
sum			sum (0)			sum
böte			böta (1)			böta
sum			sum (0)			sum
för			fyr (1)			fyr
mughu			magha (1)			magha
þe			þän (1)			þän
han			han (1)			han
siþan			siþan (0)			siþan
binda			binda (0)			binda
hans			han (1)			han
skipta			skipta (0)			skipta
nu			nu (0)			nu
han			han (1)			han
hin			hin (0)			hin
han			han (1)			han
hans			han (1)			han
han			han (1)			han
sin			sin (0.6)			sin
band			band (0)			band
til			til (0)			til
hanum			han (1)			han
hin			hin (0)			hin
sum			sum (0)			sum
han			han (1)			han
bant			binda (1)			binda
dylia			dylia (0)			dylia
han			han (1)			han
gangit			ganga (1)			ganga
saklös			saklös (0)			saklös
böte			böta (1)			böta
fiuratighi			fiuratighi (0)			fiuratighi
nu			nu (0)			nu
man			maþer (1)			maþer
skal			skula (1)			skula
han			han (1)			han
böta			böta (0)			böta
dylia			dylia (0)			dylia
sum			sum (0)			sum
nu			nu (0)			nu
nu			nu (0)			nu
annar			annar (0)			annar
til			til (0)			til
han			han (1)			han
han			han (1)			han
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
böte			böta (1)			böta
þre			þrir (1)			þrir
nu			nu (0)			nu
slar			sla (1)			sla
annar			annar (0)			annar
band			band (0)			band
af			af (0)			af
soknare			soknare (0)			soknare
böte			böta (1)			böta
fiuratighi			fiuratighi (0)			fiuratighi
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
han			han (1)			han
nu			nu (0)			nu
man			maþer (1)			maþer
af			af (0)			af
han			han (1)			han
han			han (1)			han
gislinga brut			gislinga brut (0)			gislinga brut
fiuratighi			fiuratighi (0)			fiuratighi
sum			sum (0)			sum
forman			forman (0)			forman
huar			hvar (1)			hvar
i			i (0)			i
farunöte			farunöte (0)			farunöte
böte			böta (1)			böta
þre			þrir (1)			þrir
nu			nu (0)			nu
kona			kona (0)			kona
takin			taka (1)			taka
þöm			þän (1)			þän
böta			böta (0)			böta
först			fyrst (1)			fyrst
til			til (0)			til
ma			magha (1)			magha
binda			binda (0)			binda
utan			utan (0)			utan
gripin			gripa (1)			gripa
ma			magha (1)			magha
til			til (0)			til
föra			föra (0)			föra
ganga			ganga (0)			ganga
sum			sum (0)			sum
um			um (0)			um
skal			skula (1)			skula
böta			böta (0)			böta
sum			sum (0)			sum
ganga			ganga (0)			ganga
nu			nu (0)			nu
gripin			gripa (1)			gripa
utan			utan (0)			utan
skal			skula (1)			skula
dylia			dylia (0)			dylia
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
böte			böta (1)			böta
skal			skula (1)			skula
böte			böta (1)			böta
först			fyrst (1)			fyrst
siþan			siþan (0)			siþan
böte			böta (1)			böta
sit			sin (0.333333)			sin
utan			utan (0)			utan
böta			böta (0)			böta
þria			þrir (1)			þrir
böte			böta (1)			böta
þre			þrir (1)			þrir
þriþia			þriþi (1)			þriþi
han			han (1)			han
han			han (1)			han
will			vilia (1)			vilia
han			han (1)			han
sum			sum (0)			sum
lif			lif (0)			lif
böta			böta (0)			böta
hans			han (1)			han
ambat			ambot (1)			ambot
þriþia			þriþi (1)			þriþi
stenka			stenka (0)			stenka
i			i (0)			i
gaf			giva (1)			giva
nu			nu (0)			nu
alla			alder (1)			alder
sum			sum (0)			sum
kona			kona (0)			kona
böte			böta (1)			böta
manne			maþer (1)			maþer
han			han (1)			han
böte			böta (1)			böta
kan			kunna (1)			kunna
til			til (0)			til
nu			nu (0)			nu
siþan			siþan (0)			siþan
skal			skula (1)			skula
husbonde			husbonde (0)			husbonde
sökia			sökia (0)			sökia
nu			nu (0)			nu
löska			löska (0)			löska
kona			kona (0)			kona
sum			sum (0)			sum
innan			innan (0)			innan
gripin			gripa (1)			gripa
ma			magha (1)			magha
til			til (0)			til
föra			föra (0)			föra
sum			sum (0)			sum
sak			saker (1)			saker
til at			til at (0)			til at
böta			böta (0)			böta
böta			böta (0)			böta
got			goþer (1)			goþer
til			til (0)			til
soknare			soknare (0)			soknare
hans			han (1)			han
ambat			ambot (1)			ambot
han			han (1)			han
nu			nu (0)			nu
siþan			siþan (0)			siþan
löska			löska (0)			löska
kona			kona (0)			kona
will			vilia (1)			vilia
til			til (0)			til
siþan			siþan (0)			siþan
sum			sum (0)			sum
will			vilia (1)			vilia
fram			fram (0)			fram
þing			þing (0)			þing
hanum			han (1)			han
i			i (0)			i
han			han (1)			han
til			til (0)			til
hanum			han (1)			han
i			i (0)			i
saklös			saklös (0)			saklös
siþan			siþan (0)			siþan
nu			nu (0)			nu
han			han (1)			han
hema			hema (0)			hema
hans			han (1)			han
i			i (0)			i
han			han (1)			han
satte			sätia (1)			sätia
hanum			han (1)			han
i			i (0)			i
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
han			han (1)			han
förþe			föra (1)			föra
hanum			han (1)			han
nu			nu (0)			nu
man			maþer (1)			maþer
hion			hion (0)			hion
i			i (0)			i
manna			maþer (1)			maþer
þre			þrir (1)			þrir
nu			nu (0)			nu
man			maþer (1)			maþer
þöm			þän (1)			þän
af			af (0)			af
han			han (1)			han
öri			öre (1)			öre
hans			han (1)			han
i			i (0)			i
han			han (1)			han
öra			öre (1)			öre
nu			nu (0)			nu
man			maþer (1)			maþer
i			i (0)			i
far			fa (0.333333)			fa
þöm			þän (1)			þän
sum			sum (0)			sum
fran			fran (0)			fran
han			han (1)			han
skal			skula (1)			skula
han			han (1)			han
manna			maþer (1)			maþer
tolf			tolf (0)			tolf
han			han (1)			han
fran			fran (0)			fran
þu			þän (1)			þän
nu			nu (0)			nu
saman			saman (0)			saman
þiuft			þiuft (0)			þiuft
far			fa (0.333333)			fa
sum			sum (0)			sum
sum			sum (0)			sum
atte			ägha (1)			ägha
af			af (0)			af
af			af (0)			af
nu			nu (0)			nu
man			maþer (1)			maþer
ur			ur (0)			ur
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
takin			taka (1)			taka
böte			böta (1)			böta
man			maþer (1)			maþer
böte			böta (1)			böta
siax			siäx (1)			siäx
öra			öre (1)			öre
nu			nu (0)			nu
man			maþer (1)			maþer
minna			minne (1)			minne
örtugh			örtogh (1)			örtogh
sum			sum (0)			sum
böte			böta (1)			böta
siax			siäx (1)			siäx
öra			öre (1)			öre
nu			nu (0)			nu
han			han (1)			han
dyll			dylia (1)			dylia
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
gangit			ganga (1)			ganga
saklös			saklös (0)			saklös
böte			böta (1)			böta
þre			þrir (1)			þrir
nu			nu (0)			nu
han			han (1)			han
til at			til at (0)			til at
böta			böta (0)			böta
huþ			huþ (0)			huþ
sina			sin (0.5)			sin
þo			þo (0)			þo
til			til (0)			til
til			til (0)			til
nu			nu (0)			nu
han			han (1)			han
haua			hava (1)			hava
snattan			snattan (0)			snattan
skal			skula (1)			skula
han			han (1)			han
dylia			dylia (0)			dylia
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
stal			stiäla (1)			stiäla
siax			siäx (1)			siäx
öra			öre (1)			öre
snattan			snattan (0)			snattan
nu			nu (0)			nu
til			til (0)			til
hans			han (1)			han
han			han (1)			han
haua			hava (1)			hava
af			af (0)			af
guldit			giälda (1)			giälda
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
stal			stiäla (1)			stiäla
af			af (0)			af
hanum			han (1)			han
han			han (1)			han
hanum			han (1)			han
guldit			giälda (1)			giälda
af			af (0)			af
hanum			han (1)			han
nu			nu (0)			nu
han			han (1)			han
af			af (0)			af
hanum			han (1)			han
nu			nu (0)			nu
þiuft			þiuft (0)			þiuft
siax			siäx (1)			siäx
öra			öre (1)			öre
han			han (1)			han
stal			stiäla (1)			stiäla
han			han (1)			han
saklös			saklös (0)			saklös
nu			nu (0)			nu
öra			öre (1)			öre
huþ			huþ (0)			huþ
hans			han (1)			han
takin			taka (1)			taka
til			til (0)			til
um			um (0)			um
han			han (1)			han
lösn			lösn (0)			lösn
taka			taka (0)			taka
han			han (1)			han
nu			nu (0)			nu
bonda			bonde (1)			bonde
fostre			fostre (0)			fostre
takin			taka (1)			taka
up			up (0)			up
hans			han (1)			han
til			til (0)			til
nu			nu (0)			nu
han			han (1)			han
sum			sum (0)			sum
han			han (1)			han
i			i (0)			i
huarte			hvarte (1)			hvarte
karl			karl (0)			karl
af			af (0)			af
hans			han (1)			han
sin			sin (0.6)			sin
i			i (0)			i
hanum			han (1)			han
tiughu			tiughu (0)			tiughu
nu			nu (0)			nu
sum			sum (0)			sum
þorf			þorva (1)			þorva
hin			hin (0)			hin
sum			sum (0)			sum
man			maþer (1)			maþer
biþia			biþia (0)			biþia
got			goþer (1)			goþer
þöm			þän (1)			þän
skal			skula (1)			skula
först			fyrst (1)			fyrst
eghn			eghn (0)			eghn
til			til (0)			til
þriþia			þriþi (1)			þriþi
gull			gul (1)			gul
til			til (0)			til
nu			nu (0)			nu
gull			gul (1)			gul
eghn			eghn (0)			eghn
takin			taka (1)			taka
slikt			sliker (1)			sliker
sum			sum (0)			sum
til			til (0)			til
þer			þär (0.75)			þär
af			af (0)			af
þry			þrir (1)			þrir
nu			nu (0)			nu
kona			kona (0)			kona
þaghar			þaghar (0)			þaghar
dör			döia (1)			döia
skal			skula (1)			skula
skulu			skula (1)			skula
öra			öre (1)			öre
nu			nu (0)			nu
þön			þän (1)			þän
koma			koma (0)			koma
sum			sum (0)			sum
mykil			mykil (0)			mykil
i			i (0)			i
þriggia			þrir (1)			þrir
eghn			eghn (0)			eghn
i			i (0)			i
öra			öre (1)			öre
til			til (0)			til
nu			nu (0)			nu
skal			skula (1)			skula
sum			sum (0)			sum
skal			skula (1)			skula
fylghþ			fylghþ (0)			fylghþ
nu			nu (0)			nu
annar			annar (0)			annar
sum			sum (0)			sum
fiuratighi			fiuratighi (0)			fiuratighi
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
han			han (1)			han
þem			þän (1)			þän
manne			maþer (1)			maþer
hans			han (1)			han
sum			sum (0)			sum
nu			nu (0)			nu
kan			kunna (1)			kunna
sum			sum (0)			sum
skal			skula (1)			skula
til			til (0)			til
fara			fara (1)			fara
taka			taka (0)			taka
sum			sum (0)			sum
han			han (1)			han
ma			magha (1)			magha
sum			sum (0)			sum
nu			nu (0)			nu
man			maþer (1)			maþer
barn			barn (0)			barn
siþan			siþan (0)			siþan
til			til (0)			til
husfru			husfru (0)			husfru
þaghar			þaghar (0)			þaghar
han			han (1)			han
han			han (1)			han
nu			nu (0)			nu
man			maþer (1)			maþer
barn			barn (0)			barn
i			i (0)			i
barn			barn (0)			barn
nu			nu (0)			nu
þöm			þän (1)			þän
annar			annar (0)			annar
annar			annar (0)			annar
sum			sum (0)			sum
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
först			fyrst (1)			fyrst
sum			sum (0)			sum
sum			sum (0)			sum
innan			innan (0)			innan
þriþia			þriþi (1)			þriþi
sum			sum (0)			sum
tolf			tolf (0)			tolf
þe			þän (1)			þän
sum			sum (0)			sum
nu			nu (0)			nu
siþan			siþan (0)			siþan
skal			skula (1)			skula
skal			skula (1)			skula
han			han (1)			han
fiuratighi			fiuratighi (0)			fiuratighi
siu			siu (0)			siu
han			han (1)			han
sum			sum (0)			sum
alla			alder (1)			alder
skal			skula (1)			skula
hanum			han (1)			han
til			til (0)			til
til			til (0)			til
skal			skula (1)			skula
han			han (1)			han
nu			nu (0)			nu
hulikin			hvilikin (1)			hvilikin
sum			sum (0)			sum
utan			utan (0)			utan
böte			böta (1)			böta
han			han (1)			han
fiuratighi			fiuratighi (0)			fiuratighi
iorþ			iorþ (0)			iorþ
til			til (0)			til
han			han (1)			han
atta			atta (0)			atta
af			af (0)			af
þöm			þän (1)			þän
manne			maþer (1)			maþer
sum			sum (0)			sum
fik			fa (1)			fa
iorþ			iorþ (0)			iorþ
til			til (0)			til
atta			atta (0)			atta
hans			han (1)			han
af			af (0)			af
hanum			han (1)			han
þaghar			þaghar (0)			þaghar
han			han (1)			han
atta			atta (0)			atta
nu			nu (0)			nu
siþan			siþan (0)			siþan
þön			þän (1)			þän
ganga			ganga (0)			ganga
þön			þän (1)			þän
baþin			baþir (1)			baþir
ippinbarlika			opinbarlika (1)			opinbarlika
i			i (0)			i
siang			siäng (1)			siäng
saman			saman (0)			saman
þön			þän (1)			þän
kumin			koma (1)			koma
til			til (0)			til
hanum			han (1)			han
han			han (1)			han
sökia			sökia (0)			sökia
dör			döia (1)			döia
barnlös			barnlös (0)			barnlös
han			han (1)			han
alla			alder (1)			alder
utan			utan (0)			utan
af			af (0)			af
af			af (0)			af
hans			han (1)			han
han			han (1)			han
dör			döia (1)			döia
för			fyr (1)			fyr
nu			nu (0)			nu
dör			döia (1)			döia
þön			þän (1)			þän
koma			koma (0)			koma
i			i (0)			i
siang			siäng (1)			siäng
saman			saman (0)			saman
af			af (0)			af
hans			han (1)			han
taka			taka (0)			taka
þön			þän (1)			þän
nu			nu (0)			nu
iorþ			iorþ (0)			iorþ
siþan			siþan (0)			siþan
þön			þän (1)			þän
þön			þän (1)			þän
koma			koma (0)			koma
i			i (0)			i
siang			siäng (1)			siäng
saman			saman (0)			saman
saman			saman (0)			saman
siþan			siþan (0)			siþan
dör			döia (1)			döia
sum			sum (0)			sum
sum			sum (0)			sum
för			fyr (1)			fyr
af			af (0)			af
eghn			eghn (0)			eghn
sum			sum (0)			sum
för			fyr (1)			fyr
koma			koma (0)			koma
þön			þän (1)			þän
saman			saman (0)			saman
nu			nu (0)			nu
skil			skilia (0.5)			skilia
þöm			þän (1)			þän
annar			annar (0)			annar
annar			annar (0)			annar
sum			sum (0)			sum
innan			innan (0)			innan
þriþia			þriþi (1)			þriþi
tolf			tolf (0)			tolf
þön			þän (1)			þän
sum			sum (0)			sum
nu			nu (0)			nu
man			maþer (1)			maþer
got			goþer (1)			goþer
þöm			þän (1)			þän
aru			vara (1)			vara
þy			þän (1)			þän
til			til (0)			til
sum			sum (0)			sum
byggia			byggia (0)			byggia
skal			skula (1)			skula
han			han (1)			han
biuþa			biuþa (0)			biuþa
hanum			han (1)			han
sum			sum (0)			sum
sum			sum (0)			sum
byggia			byggia (0)			byggia
hin			hin (0)			hin
fiuratighi			fiuratighi (0)			fiuratighi
up			up (0)			up
hanum			han (1)			han
þriþiu			þriþi (1)			þriþi
ma			magha (1)			magha
han			han (1)			han
til			til (0)			til
fara			fara (1)			fara
taka			taka (0)			taka
skal			skula (1)			skula
til			til (0)			til
fara			fara (1)			fara
hanum			han (1)			han
i			i (0)			i
nu			nu (0)			nu
skal			skula (1)			skula
han			han (1)			han
sinum			sin (0.5)			sin
til			til (0)			til
biuþa			biuþa (0)			biuþa
þöm			þän (1)			þän
sum			sum (0)			sum
innan			innan (0)			innan
þriþia			þriþi (1)			þriþi
han			han (1)			han
þem			þän (1)			þän
biuþa			biuþa (0)			biuþa
böte			böta (1)			böta
þre			þrir (1)			þrir
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
han			han (1)			han
skyldan			skylder (1)			skylder
nu			nu (0)			nu
skal			skula (1)			skula
til			til (0)			til
taka			taka (0)			taka
skal			skula (1)			skula
gen			gen (0)			gen
bruþ			bruþ (0)			bruþ
skulu			skula (1)			skula
til			til (0)			til
riþa			riþa (0)			riþa
gruþ			gruþ (0)			gruþ
af			af (0)			af
bonda			bonde (1)			bonde
bonde			bonde (0)			bonde
skal			skula (1)			skula
þem			þän (1)			þän
gruþ			gruþ (0)			gruþ
taka			taka (0)			taka
undi			undir (1)			undir
las			las (0)			las
þöm			þän (1)			þän
skal			skula (1)			skula
nu			nu (0)			nu
aghu			ägha (1)			ägha
þe			þän (1)			þän
lagha			lagh (1)			lagh
haua			hava (1)			hava
nu			nu (0)			nu
siþan			siþan (0)			siþan
til			til (0)			til
aghu			ägha (1)			ägha
haua			hava (1)			hava
skal			skula (1)			skula
gipta			gipta (0)			gipta
sum			sum (0)			sum
gipta			gipta (0)			gipta
faþur			faþir (1)			faþir
skal			skula (1)			skula
han			han (1)			han
gipta			gipta (0)			gipta
faþur			faþir (1)			faþir
skal			skula (1)			skula
han			han (1)			han
gipta			gipta (0)			gipta
son			son (1)			son
sum			sum (0)			sum
man			maþer (1)			maþer
skal			skula (1)			skula
broþir			broþir (0)			broþir
han			han (1)			han
han			han (1)			han
til			til (0)			til
skal			skula (1)			skula
han			han (1)			han
til			til (0)			til
sum			sum (0)			sum
